magnitude,depth_km,tsunami_flag,severity_label
7.38,20.84,0,CATASTROPHIC
7.37,29.3,0,CATASTROPHIC
7.2,13.82,1,CATASTROPHIC
7.45,37.7,1,CATASTROPHIC
8.52,5.85,1,CATASTROPHIC
8.38,10.01,1,CATASTROPHIC
9.03,7.99,0,CATASTROPHIC
8.77,75.33,0,CATASTROPHIC
7.46,38.31,1,CATASTROPHIC
8.36,38.15,1,CATASTROPHIC
8.64,5.59,0,CATASTROPHIC
8.57,89.73,1,CATASTROPHIC
8.17,12.5,1,CATASTROPHIC
8.17,25.76,0,CATASTROPHIC
7.83,3.97,1,CATASTROPHIC
7.47,34.09,0,CATASTROPHIC
8.96,60.17,1,CATASTROPHIC
8.74,50.85,0,CATASTROPHIC
8.18,59.51,1,CATASTROPHIC
7.95,14.5,0,CATASTROPHIC
7.8,65.3,1,CATASTROPHIC
7.78,98.68,1,CATASTROPHIC
7.52,11.97,0,CATASTROPHIC
7.54,17.75,0,CATASTROPHIC
7.63,18.99,1,CATASTROPHIC
7.18,53.4,1,CATASTROPHIC
9.16,12.98,1,CATASTROPHIC
9.13,86.82,1,CATASTROPHIC
7.57,18.75,1,CATASTROPHIC
9.04,56.56,1,CATASTROPHIC
7.62,77.41,0,CATASTROPHIC
7.71,43.69,1,CATASTROPHIC
7.53,13.25,1,CATASTROPHIC
7.63,58.96,0,CATASTROPHIC
8.06,54.19,0,CATASTROPHIC
7.74,15.17,0,CATASTROPHIC
9.18,33.59,1,CATASTROPHIC
7.56,68.79,1,CATASTROPHIC
8.31,48.21,1,CATASTROPHIC
7.77,93.09,1,CATASTROPHIC
9.12,14.18,1,CATASTROPHIC
9.06,19.76,0,CATASTROPHIC
8.63,58.3,1,CATASTROPHIC
7.31,79.94,0,CATASTROPHIC
7.36,18.1,1,CATASTROPHIC
8.46,53.26,1,CATASTROPHIC
8.93,40.46,1,CATASTROPHIC
7.97,38.94,1,CATASTROPHIC
7.66,75.27,1,CATASTROPHIC
7.51,90.16,1,CATASTROPHIC
8.2,90.83,1,CATASTROPHIC
7.26,94.1,1,CATASTROPHIC
7.74,15.65,1,CATASTROPHIC
8.36,54.28,1,CATASTROPHIC
8.73,16.86,1,CATASTROPHIC
7.55,74.91,0,CATASTROPHIC
8.25,76.72,1,CATASTROPHIC
7.75,82.48,0,CATASTROPHIC
8.86,14.49,1,CATASTROPHIC
8.75,16.69,0,CATASTROPHIC
8.59,72.56,1,CATASTROPHIC
8.53,55.19,0,CATASTROPHIC
7.76,19.8,1,CATASTROPHIC
8.28,41.28,1,CATASTROPHIC
9.08,17.03,1,CATASTROPHIC
8.11,61.92,0,CATASTROPHIC
8.92,93.35,1,CATASTROPHIC
8.53,92.4,1,CATASTROPHIC
7.34,58.48,1,CATASTROPHIC
7.93,74.17,1,CATASTROPHIC
9.04,46.18,0,CATASTROPHIC
9.17,84.21,0,CATASTROPHIC
9.03,87.25,1,CATASTROPHIC
8.3,41.1,0,CATASTROPHIC
7.74,80.68,0,CATASTROPHIC
7.73,41.02,1,CATASTROPHIC
9.02,35.94,1,CATASTROPHIC
8.62,46.32,0,CATASTROPHIC
8.0,15.8,0,CATASTROPHIC
8.1,43.05,1,CATASTROPHIC
7.8,58.9,1,CATASTROPHIC
7.03,67.03,0,CATASTROPHIC
9.11,16.57,1,CATASTROPHIC
7.19,99.69,1,CATASTROPHIC
8.31,8.57,1,CATASTROPHIC
7.46,90.01,0,CATASTROPHIC
7.42,5.58,1,CATASTROPHIC
8.24,8.44,1,CATASTROPHIC
8.0,53.39,1,CATASTROPHIC
7.88,56.84,0,CATASTROPHIC
7.4,86.45,1,CATASTROPHIC
7.82,28.53,1,CATASTROPHIC
7.9,4.49,0,CATASTROPHIC
8.58,66.57,0,CATASTROPHIC
7.49,24.65,1,CATASTROPHIC
7.04,12.2,1,CATASTROPHIC
7.39,65.97,0,CATASTROPHIC
7.22,25.83,1,CATASTROPHIC
8.88,83.36,1,CATASTROPHIC
8.47,22.09,0,CATASTROPHIC
8.97,3.27,0,CATASTROPHIC
6.31,12.83,0,SEVERE
6.87,129.32,1,SEVERE
7.23,105.84,0,SEVERE
6.57,179.14,0,SEVERE
6.94,125.78,0,SEVERE
6.65,91.87,1,SEVERE
7.15,46.33,1,SEVERE
6.73,268.89,1,SEVERE
6.64,11.63,0,SEVERE
6.81,191.88,0,SEVERE
6.21,251.3,1,SEVERE
6.79,55.65,0,SEVERE
6.03,274.72,0,SEVERE
6.86,85.85,0,SEVERE
6.98,249.77,0,SEVERE
6.02,45.38,1,SEVERE
7.31,181.24,0,SEVERE
7.0,56.73,1,SEVERE
6.63,118.03,0,SEVERE
6.07,54.05,0,SEVERE
6.12,182.93,0,SEVERE
6.58,90.16,0,SEVERE
7.08,92.65,0,SEVERE
6.71,200.78,1,SEVERE
7.1,68.41,0,SEVERE
6.39,180.55,0,SEVERE
6.74,181.07,0,SEVERE
7.16,36.45,0,SEVERE
7.09,151.17,0,SEVERE
6.65,77.69,1,SEVERE
7.2,209.94,0,SEVERE
6.89,111.49,0,SEVERE
7.38,45.36,1,SEVERE
6.67,59.61,0,SEVERE
7.31,221.01,1,SEVERE
6.99,209.22,1,SEVERE
6.37,149.38,0,SEVERE
7.48,283.5,0,SEVERE
7.06,277.95,0,SEVERE
6.85,275.07,0,SEVERE
7.05,92.72,1,SEVERE
7.46,283.56,0,SEVERE
7.29,254.14,0,SEVERE
7.24,15.92,0,SEVERE
6.35,40.57,0,SEVERE
7.04,105.26,0,SEVERE
6.1,98.01,0,SEVERE
7.19,99.03,0,SEVERE
7.33,186.68,0,SEVERE
6.04,261.68,0,SEVERE
7.31,161.04,1,SEVERE
7.2,299.39,0,SEVERE
7.15,123.57,0,SEVERE
6.94,262.73,1,SEVERE
7.15,128.24,0,SEVERE
7.11,75.44,0,SEVERE
6.53,89.74,0,SEVERE
6.35,17.42,0,SEVERE
7.48,131.19,0,SEVERE
7.02,69.38,1,SEVERE
7.18,31.38,0,SEVERE
7.32,283.7,0,SEVERE
6.92,54.28,1,SEVERE
6.35,283.11,0,SEVERE
6.91,156.24,0,SEVERE
6.26,70.04,0,SEVERE
7.17,108.29,0,SEVERE
7.45,265.72,1,SEVERE
7.49,56.3,0,SEVERE
7.14,210.33,0,SEVERE
7.22,71.21,0,SEVERE
6.81,179.92,0,SEVERE
6.14,263.85,0,SEVERE
6.19,267.18,1,SEVERE
7.29,243.81,0,SEVERE
6.83,30.66,0,SEVERE
6.56,81.63,0,SEVERE
6.74,28.91,0,SEVERE
7.02,27.46,1,SEVERE
6.74,146.77,0,SEVERE
7.24,107.6,0,SEVERE
6.85,83.77,1,SEVERE
7.2,199.24,1,SEVERE
7.3,213.97,1,SEVERE
7.05,205.64,0,SEVERE
7.13,51.79,1,SEVERE
7.31,13.63,1,SEVERE
6.19,103.86,0,SEVERE
6.24,246.3,1,SEVERE
6.76,6.88,0,SEVERE
6.93,294.45,0,SEVERE
6.39,192.03,0,SEVERE
7.17,36.56,1,SEVERE
6.81,289.08,0,SEVERE
6.95,279.95,0,SEVERE
7.41,207.93,0,SEVERE
6.45,213.91,0,SEVERE
6.87,107.04,0,SEVERE
6.07,262.1,1,SEVERE
7.45,226.15,0,SEVERE
7.14,12.25,0,SEVERE
6.49,149.15,1,SEVERE
7.02,136.54,0,SEVERE
7.5,130.72,0,SEVERE
6.25,239.47,0,SEVERE
6.33,29.3,0,SEVERE
6.98,85.61,1,SEVERE
6.23,132.54,1,SEVERE
6.63,193.37,0,SEVERE
6.41,295.27,0,SEVERE
7.34,72.84,0,SEVERE
6.05,197.24,0,SEVERE
7.3,144.6,1,SEVERE
6.28,261.24,1,SEVERE
7.16,254.21,1,SEVERE
6.94,43.72,0,SEVERE
7.38,186.91,1,SEVERE
6.72,39.61,0,SEVERE
7.03,131.94,0,SEVERE
6.74,23.94,0,SEVERE
6.4,240.28,0,SEVERE
6.68,8.43,0,SEVERE
6.59,146.58,0,SEVERE
6.44,210.02,1,SEVERE
7.17,16.69,0,SEVERE
6.16,76.4,1,SEVERE
6.21,152.17,0,SEVERE
7.05,170.1,0,SEVERE
6.49,157.72,0,SEVERE
6.53,14.79,0,SEVERE
6.6,44.15,0,SEVERE
7.03,241.17,0,SEVERE
6.25,35.85,0,SEVERE
7.06,14.32,1,SEVERE
6.08,164.68,0,SEVERE
7.31,215.66,1,SEVERE
6.51,245.37,0,SEVERE
7.34,166.54,1,SEVERE
6.68,194.86,0,SEVERE
7.1,29.08,0,SEVERE
6.37,52.07,1,SEVERE
6.33,292.88,0,SEVERE
6.27,237.96,0,SEVERE
6.75,168.83,0,SEVERE
6.34,298.92,1,SEVERE
6.98,63.87,0,SEVERE
6.11,14.04,0,SEVERE
6.69,261.14,0,SEVERE
7.11,130.52,0,SEVERE
6.56,296.36,0,SEVERE
7.3,175.71,0,SEVERE
7.09,148.57,1,SEVERE
7.35,129.41,0,SEVERE
6.89,274.15,0,SEVERE
6.93,191.31,0,SEVERE
6.2,216.17,1,SEVERE
6.27,75.08,1,SEVERE
6.27,257.04,0,SEVERE
6.37,261.87,0,SEVERE
6.77,110.97,0,SEVERE
6.25,120.37,1,SEVERE
6.39,198.74,0,SEVERE
7.16,43.61,1,SEVERE
6.68,74.63,0,SEVERE
6.25,158.33,0,SEVERE
7.24,132.11,0,SEVERE
6.93,213.5,0,SEVERE
6.25,15.82,0,SEVERE
7.0,145.02,1,SEVERE
7.21,177.68,1,SEVERE
6.31,38.02,0,SEVERE
6.09,161.7,1,SEVERE
6.06,41.02,0,SEVERE
7.4,98.27,0,SEVERE
6.06,48.76,1,SEVERE
7.45,6.46,1,SEVERE
6.96,261.04,0,SEVERE
6.77,149.21,0,SEVERE
6.21,13.84,0,SEVERE
7.06,64.55,0,SEVERE
7.45,32.7,0,SEVERE
6.67,261.1,0,SEVERE
7.04,252.24,1,SEVERE
7.02,151.67,0,SEVERE
7.3,173.33,0,SEVERE
7.4,208.41,0,SEVERE
6.32,199.37,0,SEVERE
6.98,36.44,0,SEVERE
7.5,19.22,1,SEVERE
6.61,261.87,1,SEVERE
6.85,222.84,1,SEVERE
6.61,101.47,0,SEVERE
7.21,229.87,1,SEVERE
6.65,246.26,0,SEVERE
6.82,6.7,0,SEVERE
6.55,121.87,0,SEVERE
6.58,137.36,0,SEVERE
6.56,72.04,0,SEVERE
6.91,202.12,0,SEVERE
6.7,117.04,1,SEVERE
6.78,146.36,0,SEVERE
6.51,117.16,0,SEVERE
6.87,162.41,0,SEVERE
7.15,244.83,0,SEVERE
7.43,10.38,0,SEVERE
6.01,196.01,1,SEVERE
6.37,278.48,0,SEVERE
7.4,108.73,0,SEVERE
6.73,80.75,0,SEVERE
6.46,241.89,0,SEVERE
6.47,185.05,0,SEVERE
6.41,127.0,0,SEVERE
6.27,205.93,0,SEVERE
6.79,214.17,0,SEVERE
6.85,80.69,1,SEVERE
6.73,242.77,0,SEVERE
6.07,191.78,1,SEVERE
6.9,246.66,1,SEVERE
6.34,67.55,0,SEVERE
6.62,252.76,1,SEVERE
6.53,74.88,1,SEVERE
6.41,247.67,0,SEVERE
7.0,33.18,0,SEVERE
6.68,178.05,0,SEVERE
7.11,259.53,0,SEVERE
6.14,11.97,0,SEVERE
6.91,166.28,0,SEVERE
6.59,180.37,0,SEVERE
7.48,45.25,0,SEVERE
6.61,131.32,0,SEVERE
7.04,297.42,0,SEVERE
6.16,218.68,0,SEVERE
6.41,28.43,0,SEVERE
7.34,61.6,0,SEVERE
6.34,109.72,0,SEVERE
6.78,24.95,1,SEVERE
6.35,164.3,1,SEVERE
6.98,162.22,0,SEVERE
6.5,202.5,1,SEVERE
6.99,169.55,0,SEVERE
6.7,22.74,0,SEVERE
7.44,56.71,0,SEVERE
6.3,163.07,0,SEVERE
6.68,228.07,0,SEVERE
7.0,239.66,1,SEVERE
6.35,122.8,0,SEVERE
7.49,278.47,0,SEVERE
7.26,158.68,0,SEVERE
6.13,227.8,0,SEVERE
7.24,235.7,0,SEVERE
6.05,94.42,0,SEVERE
6.54,30.85,1,SEVERE
6.83,95.13,0,SEVERE
6.67,182.18,0,SEVERE
7.38,151.6,1,SEVERE
7.28,66.51,1,SEVERE
6.17,246.15,0,SEVERE
7.32,261.08,1,SEVERE
7.19,94.88,0,SEVERE
6.6,56.19,0,SEVERE
6.52,292.81,0,SEVERE
7.23,44.09,1,SEVERE
7.38,148.68,0,SEVERE
7.15,56.58,0,SEVERE
6.6,48.18,0,SEVERE
6.1,12.61,0,SEVERE
7.44,167.11,1,SEVERE
6.65,96.99,0,SEVERE
6.66,36.17,0,SEVERE
6.32,187.78,0,SEVERE
6.23,23.1,1,SEVERE
6.69,22.16,1,SEVERE
6.09,210.04,1,SEVERE
6.36,46.96,0,SEVERE
6.45,34.81,0,SEVERE
6.09,155.28,1,SEVERE
7.22,186.49,0,SEVERE
6.94,160.48,0,SEVERE
6.2,266.55,0,SEVERE
6.29,113.49,0,SEVERE
7.24,221.42,1,SEVERE
6.02,127.77,0,SEVERE
6.03,81.64,1,SEVERE
6.21,162.92,0,SEVERE
6.02,76.15,1,SEVERE
7.2,288.08,0,SEVERE
6.16,166.65,0,SEVERE
7.27,33.93,0,SEVERE
6.23,100.78,0,SEVERE
6.71,115.89,0,SEVERE
6.69,236.58,1,SEVERE
7.43,237.14,0,SEVERE
7.03,134.09,0,SEVERE
7.26,16.34,1,SEVERE
6.69,192.97,0,SEVERE
7.34,192.82,0,SEVERE
6.1,157.93,0,SEVERE
7.11,156.11,0,SEVERE
6.06,30.01,0,SEVERE
6.11,26.02,0,SEVERE
7.43,222.56,0,SEVERE
6.44,108.16,1,SEVERE
6.99,59.63,0,SEVERE
6.15,199.79,1,SEVERE
6.4,11.18,0,SEVERE
7.45,92.16,1,SEVERE
6.94,117.67,0,SEVERE
6.18,186.43,1,SEVERE
6.97,161.44,0,SEVERE
7.45,240.62,0,SEVERE
7.47,182.56,0,SEVERE
7.12,244.47,0,SEVERE
6.19,104.79,1,SEVERE
6.34,114.79,0,SEVERE
6.66,185.82,1,SEVERE
6.36,40.84,0,SEVERE
7.33,195.51,0,SEVERE
7.22,259.1,1,SEVERE
7.38,79.41,1,SEVERE
6.69,253.39,0,SEVERE
7.16,198.57,0,SEVERE
6.82,295.48,1,SEVERE
6.06,53.62,0,SEVERE
7.09,246.25,0,SEVERE
6.76,253.01,0,SEVERE
6.81,179.15,0,SEVERE
6.45,171.68,0,SEVERE
7.31,192.71,1,SEVERE
6.24,141.16,0,SEVERE
6.37,219.31,1,SEVERE
6.15,123.44,1,SEVERE
6.31,168.75,0,SEVERE
6.92,60.47,0,SEVERE
7.18,168.5,0,SEVERE
7.14,15.42,0,SEVERE
6.3,287.63,0,SEVERE
6.49,48.92,0,SEVERE
7.31,298.92,0,SEVERE
6.67,218.01,1,SEVERE
6.89,120.5,0,SEVERE
7.04,5.95,0,SEVERE
6.53,239.29,0,SEVERE
6.88,146.89,0,SEVERE
6.1,176.1,0,SEVERE
6.84,183.03,0,SEVERE
7.21,84.6,1,SEVERE
6.75,27.73,0,SEVERE
6.5,236.54,0,SEVERE
7.18,157.59,0,SEVERE
6.22,101.82,0,SEVERE
6.13,70.08,0,SEVERE
7.1,299.51,1,SEVERE
6.96,129.27,0,SEVERE
7.18,39.91,0,SEVERE
7.26,118.23,0,SEVERE
6.88,59.42,0,SEVERE
6.5,12.73,0,SEVERE
7.25,85.56,0,SEVERE
6.45,282.5,0,SEVERE
6.64,262.46,1,SEVERE
6.28,241.78,0,SEVERE
6.72,44.38,0,SEVERE
7.09,151.46,0,SEVERE
7.09,230.83,0,SEVERE
6.92,44.93,1,SEVERE
6.99,287.2,0,SEVERE
6.09,88.25,0,SEVERE
6.37,272.35,0,SEVERE
6.41,229.02,0,SEVERE
7.17,24.28,0,SEVERE
6.05,23.48,1,SEVERE
6.21,162.06,0,SEVERE
6.52,270.45,0,SEVERE
7.0,289.2,0,SEVERE
7.41,20.42,0,SEVERE
6.39,220.59,1,SEVERE
6.38,197.98,0,SEVERE
6.85,141.86,1,SEVERE
6.91,108.1,0,SEVERE
6.23,71.47,0,SEVERE
7.28,170.56,0,SEVERE
6.17,258.74,0,SEVERE
6.1,213.81,0,SEVERE
6.12,140.2,0,SEVERE
6.25,283.98,1,SEVERE
7.0,141.38,0,SEVERE
6.98,165.9,0,SEVERE
6.77,242.89,0,SEVERE
6.08,236.95,0,SEVERE
6.39,53.59,0,SEVERE
7.14,158.22,0,SEVERE
7.32,264.48,1,SEVERE
6.36,138.12,1,SEVERE
7.16,13.01,0,SEVERE
6.7,273.22,0,SEVERE
6.75,36.11,0,SEVERE
7.23,117.22,1,SEVERE
7.45,65.11,0,SEVERE
6.43,238.89,0,SEVERE
6.95,240.38,0,SEVERE
6.06,215.55,0,MODERATE
4.77,279.88,0,MODERATE
5.85,130.12,0,MODERATE
5.96,362.93,0,MODERATE
4.97,393.49,0,MODERATE
4.74,84.8,0,MODERATE
4.81,358.13,0,MODERATE
5.61,65.08,0,MODERATE
5.25,248.04,0,MODERATE
4.64,353.55,0,MODERATE
5.87,204.56,0,MODERATE
6.14,170.02,0,MODERATE
6.17,268.83,0,MODERATE
5.58,70.55,0,MODERATE
6.0,173.86,0,MODERATE
4.78,9.98,0,MODERATE
5.45,213.32,0,MODERATE
5.72,356.65,0,MODERATE
4.63,293.94,0,MODERATE
4.82,343.98,0,MODERATE
5.89,218.61,0,MODERATE
5.71,129.17,0,MODERATE
5.3,329.55,0,MODERATE
5.28,146.33,0,MODERATE
5.34,332.16,0,MODERATE
5.07,73.64,0,MODERATE
5.71,331.26,0,MODERATE
4.67,99.75,0,MODERATE
4.74,142.44,0,MODERATE
5.27,300.79,0,MODERATE
5.61,250.27,0,MODERATE
5.1,337.37,0,MODERATE
5.3,391.75,0,MODERATE
5.58,54.87,0,MODERATE
5.65,133.42,0,MODERATE
5.67,32.51,0,MODERATE
4.8,343.02,0,MODERATE
4.89,335.63,0,MODERATE
4.97,258.94,0,MODERATE
5.68,207.5,0,MODERATE
5.02,88.99,0,MODERATE
4.56,125.06,0,MODERATE
5.61,375.63,0,MODERATE
5.98,307.6,0,MODERATE
5.84,267.67,0,MODERATE
4.94,363.34,0,MODERATE
5.64,226.37,0,MODERATE
4.69,181.59,0,MODERATE
5.28,346.5,0,MODERATE
5.43,155.26,0,MODERATE
6.16,48.73,0,MODERATE
5.22,21.6,0,MODERATE
5.76,367.64,0,MODERATE
4.98,344.04,0,MODERATE
5.0,364.75,0,MODERATE
5.78,322.94,0,MODERATE
4.53,385.31,0,MODERATE
5.74,125.38,0,MODERATE
5.91,116.2,0,MODERATE
5.98,49.47,0,MODERATE
5.7,218.58,0,MODERATE
4.66,100.55,0,MODERATE
4.52,190.16,0,MODERATE
5.01,241.35,0,MODERATE
5.01,123.47,0,MODERATE
5.76,24.02,0,MODERATE
6.03,341.64,0,MODERATE
5.64,239.32,0,MODERATE
6.02,78.21,0,MODERATE
4.63,99.61,0,MODERATE
5.85,18.69,0,MODERATE
5.49,398.2,0,MODERATE
5.95,210.97,0,MODERATE
4.61,333.39,0,MODERATE
5.52,50.4,0,MODERATE
4.66,364.3,0,MODERATE
5.64,332.57,0,MODERATE
5.99,230.85,0,MODERATE
5.38,175.02,0,MODERATE
5.04,176.67,0,MODERATE
5.82,242.76,0,MODERATE
6.02,180.14,0,MODERATE
5.53,254.37,0,MODERATE
5.51,282.54,0,MODERATE
4.9,207.38,0,MODERATE
4.68,156.88,0,MODERATE
5.33,262.63,0,MODERATE
6.12,242.26,0,MODERATE
5.76,204.98,0,MODERATE
5.58,33.02,0,MODERATE
4.93,147.93,0,MODERATE
5.3,23.03,0,MODERATE
4.74,114.34,0,MODERATE
6.15,135.88,0,MODERATE
5.32,82.46,0,MODERATE
5.54,115.87,0,MODERATE
4.85,209.05,0,MODERATE
