severity_code,severity_label,population,disaster_type_code,disaster_type_label,water_purification_units,emergency_shelter_kits,medical_supply_crates,sar_equipment_sets,communication_radios,portable_generators,food_ration_packages,thermal_blankets,first_aid_stations,evacuation_vehicles
3,SEVERE,3045915,1,cyclone,19290,16198,9525,7414,8391,9696,24334,23088,3013,3587
0,NONE,3021372,1,cyclone,0,0,0,0,0,0,0,0,0,0
0,NONE,4070028,0,earthquake,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,4107834,0,earthquake,39288,41362,27910,29080,22096,20360,39560,36463,13037,12752
4,CATASTROPHIC,4904948,0,earthquake,41293,53439,32676,34838,28478,26724,47732,44678,11548,13656
2,MODERATE,2655982,1,cyclone,7540,7521,2211,1934,3019,2291,7824,9025,1358,1739
1,MINOR,856626,1,cyclone,581,535,262,160,217,140,420,742,84,94
4,CATASTROPHIC,208944,0,earthquake,2353,1908,1604,1525,977,1230,1840,2281,689,584
3,SEVERE,673218,0,earthquake,2753,3132,1648,2256,1559,1451,3033,3864,656,591
3,SEVERE,807744,0,earthquake,3976,4212,1853,2504,1685,1829,4532,4083,930,972
3,SEVERE,828791,1,cyclone,5681,5805,2377,1967,1971,2394,5247,7209,875,965
4,CATASTROPHIC,3610793,1,cyclone,50211,48863,28240,20967,21432,28293,39566,48059,9539,13184
0,NONE,4327308,1,cyclone,0,0,0,0,0,0,0,0,0,0
2,MODERATE,4587878,1,cyclone,13075,10502,4509,3263,5392,4244,12276,15001,2743,3063
4,CATASTROPHIC,1500134,0,earthquake,15128,14874,11050,10785,7694,6735,12468,16714,4254,4478
2,MODERATE,2123238,1,cyclone,5609,5710,2012,1692,2316,1597,5491,7415,1052,1028
2,MODERATE,421280,1,cyclone,1030,1341,331,442,558,323,1089,1299,221,269
3,SEVERE,4161900,0,earthquake,20398,20494,12242,13901,8817,5876,22174,21214,4154,4000
4,CATASTROPHIC,217770,0,earthquake,2009,2266,1376,1314,1020,1182,2385,2289,700,687
0,NONE,2878350,0,earthquake,0,0,0,0,0,0,0,0,0,0
3,SEVERE,3731404,0,earthquake,17321,19284,10664,11897,6592,7409,20487,20962,3890,3604
2,MODERATE,3214215,0,earthquake,6328,6878,3124,3417,2718,1585,6479,6443,1341,1800
0,NONE,1472542,0,earthquake,0,0,0,0,0,0,0,0,0,0
3,SEVERE,1279180,0,earthquake,5923,6965,3133,3826,2644,2315,5995,6405,1401,1147
1,MINOR,734983,0,earthquake,385,361,216,149,162,74,399,373,72,78
3,SEVERE,3385744,1,cyclone,22179,22385,9301,8459,8572,9791,20731,23284,3515,3736
0,NONE,3424083,0,earthquake,0,0,0,0,0,0,0,0,0,0
3,SEVERE,3172382,1,cyclone,21903,19677,10506,7556,8124,8497,17416,25738,3291,3463
1,MINOR,3300354,1,cyclone,2071,2764,910,536,801,479,2255,2621,299,400
1,MINOR,4387373,0,earthquake,1859,1944,1287,645,945,333,2176,2196,462,436
3,SEVERE,4995929,1,cyclone,31600,40445,13690,11127,11075,15191,27522,32397,4865,5223
4,CATASTROPHIC,29336,0,earthquake,268,314,224,244,174,158,323,297,92,105
0,NONE,2911190,0,earthquake,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,4696671,1,cyclone,64336,66092,32200,24591,26314,33119,63125,63446,14644,19297
2,MODERATE,2477748,1,cyclone,5605,8032,2187,2150,3163,1814,6272,6068,1279,1578
1,MINOR,2763545,0,earthquake,1381,1488,689,512,514,310,1472,1407,284,319
4,CATASTROPHIC,3999453,0,earthquake,39191,35066,29250,29035,20093,20660,38299,33525,11138,12186
1,MINOR,3045529,1,cyclone,2088,2007,916,515,724,400,1789,2473,346,408
2,MODERATE,2715223,1,cyclone,7055,8790,2883,2127,3463,1777,6568,7262,1421,1745
2,MODERATE,4156004,0,earthquake,8295,7907,3825,4296,3840,1752,7194,6979,2129,2109
0,NONE,4320614,0,earthquake,0,0,0,0,0,0,0,0,0,0
2,MODERATE,4610146,1,cyclone,11021,14144,4969,3580,6312,3317,11553,9029,2399,2399
0,NONE,3319151,0,earthquake,0,0,0,0,0,0,0,0,0,0
1,MINOR,2444291,0,earthquake,864,1374,721,521,570,303,1142,1238,277,223
4,CATASTROPHIC,4809045,0,earthquake,45234,43446,36396,38166,27610,22888,52196,49226,13603,15486
2,MODERATE,1531064,1,cyclone,3432,4087,1569,1417,1772,1029,4576,4361,631,930
1,MINOR,1641232,1,cyclone,1082,1205,500,234,421,269,938,1208,159,201
1,MINOR,1999014,0,earthquake,957,1067,567,421,347,175,1105,1093,212,201
0,NONE,337369,0,earthquake,0,0,0,0,0,0,0,0,0,0
2,MODERATE,3819712,0,earthquake,8173,7961,4007,3618,2997,2119,7273,6980,2042,1834
2,MODERATE,2487111,0,earthquake,5186,4883,2152,2656,2389,1191,4947,4854,1197,1084
0,NONE,3662340,0,earthquake,0,0,0,0,0,0,0,0,0,0
0,NONE,4764812,1,cyclone,0,0,0,0,0,0,0,0,0,0
1,MINOR,3855933,0,earthquake,2002,1935,1002,789,667,400,1774,1935,400,480
2,MODERATE,4104399,1,cyclone,11683,10014,4140,3413,4884,3135,10882,11312,2359,2769
4,CATASTROPHIC,2866069,0,earthquake,31548,22910,23972,18941,15445,17947,34838,25858,7356,9828
4,CATASTROPHIC,2291136,0,earthquake,24334,22538,17162,16145,12283,10430,26174,24509,7317,6105
1,MINOR,2179441,0,earthquake,995,1074,674,444,365,208,1272,1036,218,216
0,NONE,4138,0,earthquake,0,0,0,0,0,0,0,0,0,0
1,MINOR,853329,1,cyclone,547,453,279,127,211,96,608,591,73,98
2,MODERATE,3499701,0,earthquake,7774,7448,4249,3237,3790,1571,5868,5574,1844,1782
3,SEVERE,2252641,0,earthquake,10723,9265,6291,6760,4862,4497,11547,10839,2646,2023
0,NONE,853605,1,cyclone,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,1174846,1,cyclone,16008,17347,8675,6411,6960,9100,15404,13711,3443,3869
2,MODERATE,3205228,0,earthquake,6608,5027,3296,3275,3041,1270,6274,6386,1543,1308
4,CATASTROPHIC,2534957,1,cyclone,31579,34442,19476,15499,13315,19116,30616,33238,7439,8844
0,NONE,4109545,1,cyclone,0,0,0,0,0,0,0,0,0,0
0,NONE,4798793,1,cyclone,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,1133183,1,cyclone,13264,16897,8613,6196,6825,7267,14289,16912,4290,3625
4,CATASTROPHIC,4860319,1,cyclone,64957,80010,35288,28276,29007,40912,70112,68343,12657,17141
1,MINOR,1167272,0,earthquake,564,583,411,208,202,115,622,610,120,117
1,MINOR,2014017,0,earthquake,977,1142,539,375,352,171,988,944,236,195
1,MINOR,1441246,0,earthquake,707,767,446,297,329,124,728,678,164,112
4,CATASTROPHIC,2549565,0,earthquake,28367,27467,16417,20535,11177,14414,22693,24598,8137,6527
4,CATASTROPHIC,3715929,1,cyclone,48970,58069,23948,23016,25953,26042,54922,45925,11582,11733
1,MINOR,4392541,1,cyclone,2859,3352,1198,809,1108,726,2667,3575,391,574
2,MODERATE,1857596,0,earthquake,4197,3757,1529,1803,2050,974,3657,4201,997,1004
0,NONE,3030555,1,cyclone,0,0,0,0,0,0,0,0,0,0
2,MODERATE,917472,1,cyclone,2969,2266,818,648,1068,763,2139,3058,460,489
1,MINOR,3845474,0,earthquake,2108,1986,1342,904,905,365,1662,1816,411,390
1,MINOR,465590,1,cyclone,258,330,155,78,119,80,300,326,52,62
1,MINOR,2956151,0,earthquake,1507,1574,900,562,686,306,1425,1667,256,361
1,MINOR,1384822,0,earthquake,751,727,374,361,246,134,577,729,140,149
3,SEVERE,1429290,1,cyclone,8937,10182,4358,3393,2954,4560,10065,12481,1492,1715
2,MODERATE,4715700,0,earthquake,10275,8835,4835,5102,4699,2465,8944,9246,2309,2181
1,MINOR,869446,1,cyclone,559,531,257,128,215,130,595,572,83,115
3,SEVERE,713340,0,earthquake,3431,3685,2328,2058,1153,1405,4048,3667,730,637
2,MODERATE,871535,1,cyclone,2074,2434,707,669,921,501,2388,3043,484,558
1,MINOR,169934,0,earthquake,86,76,51,32,41,16,100,89,15,17
1,MINOR,797583,0,earthquake,370,466,261,160,187,80,442,400,82,79
0,NONE,511162,1,cyclone,0,0,0,0,0,0,0,0,0,0
2,MODERATE,872834,1,cyclone,2295,2237,907,730,1101,590,2114,2441,420,551
3,SEVERE,2806284,0,earthquake,14447,14557,9558,8998,5532,4948,13028,13664,3038,2798
4,CATASTROPHIC,1912493,1,cyclone,23230,24812,13294,11663,13300,14048,24751,25204,6850,5920
4,CATASTROPHIC,3457521,0,earthquake,33826,40980,26939,26018,17514,16583,37000,30678,11964,10188
4,CATASTROPHIC,4840349,0,earthquake,44640,51759,32431,26946,24519,24410,52668,55935,17298,15775
0,NONE,2599327,1,cyclone,0,0,0,0,0,0,0,0,0,0
2,MODERATE,3466689,0,earthquake,7016,6655,4055,3840,3255,1574,7892,8084,1353,1749
0,NONE,1572138,1,cyclone,0,0,0,0,0,0,0,0,0,0
3,SEVERE,3531674,0,earthquake,19066,15915,9662,9259,7663,6989,15338,19166,3335,3223
2,MODERATE,544026,1,cyclone,1386,1748,522,460,700,426,1594,1516,243,291
0,NONE,2598133,0,earthquake,0,0,0,0,0,0,0,0,0,0
3,SEVERE,1074477,0,earthquake,5862,5429,3630,2950,2265,2191,5514,6055,1153,1105
1,MINOR,141449,0,earthquake,76,65,39,27,24,14,72,72,15,16
2,MODERATE,4474843,1,cyclone,9605,13259,4445,3741,5138,3307,11785,13019,1897,2622
0,NONE,3886912,0,earthquake,0,0,0,0,0,0,0,0,0,0
0,NONE,2605221,0,earthquake,0,0,0,0,0,0,0,0,0,0
3,SEVERE,668629,1,cyclone,4492,5596,2000,1522,1420,1943,4415,5041,783,842
4,CATASTROPHIC,3699243,0,earthquake,42727,37250,26092,25429,16232,19745,38507,37616,10968,10773
4,CATASTROPHIC,1765520,0,earthquake,16833,17145,11037,10150,9849,9963,17362,16455,5096,5111
3,SEVERE,4290447,1,cyclone,26665,28416,15254,10462,10003,12058,30381,30580,4268,4819
1,MINOR,775292,0,earthquake,368,377,227,153,147,87,424,382,79,74
1,MINOR,1985681,0,earthquake,1226,728,635,327,388,196,1142,924,224,175
2,MODERATE,407407,0,earthquake,820,787,459,451,425,180,756,731,157,229
3,SEVERE,4357356,1,cyclone,32560,29049,11973,10222,9273,13522,27264,31022,4098,5173
2,MODERATE,353039,0,earthquake,657,779,382,315,386,141,877,797,166,183
3,SEVERE,1460235,0,earthquake,7616,7644,4070,4068,2888,2658,7915,7031,1035,1405
2,MODERATE,69518,1,cyclone,189,230,64,52,87,50,211,215,31,34
1,MINOR,170948,1,cyclone,110,114,46,29,35,27,99,118,14,19
0,NONE,2072723,0,earthquake,0,0,0,0,0,0,0,0,0,0
1,MINOR,3647965,0,earthquake,1986,2157,1049,781,896,342,1543,1481,390,296
4,CATASTROPHIC,4327552,0,earthquake,49635,44553,32302,28098,22906,20780,41314,47147,14153,15174
1,MINOR,876336,1,cyclone,512,592,262,135,206,136,640,743,94,91
4,CATASTROPHIC,2268693,0,earthquake,20765,25521,17118,15818,10869,9045,20257,27023,5934,6935
2,MODERATE,2573697,0,earthquake,4931,5794,2672,2903,2758,1015,5341,5307,1303,1269
4,CATASTROPHIC,1652131,1,cyclone,25561,23696,11693,9392,11084,13829,21229,25407,5279,5271
2,MODERATE,4124390,0,earthquake,8320,8072,4089,2809,4405,1997,7136,9009,2193,1994
4,CATASTROPHIC,1979746,0,earthquake,17516,20149,14028,15139,9459,11081,18727,17133,5266,5902
2,MODERATE,4329454,1,cyclone,12853,9106,4882,3580,4568,2897,13143,11760,1915,2893
2,MODERATE,964795,0,earthquake,1777,1996,812,1010,933,546,2060,2141,446,532
4,CATASTROPHIC,1503061,0,earthquake,14585,14669,13209,9845,6874,7579,16804,18455,4805,3936
2,MODERATE,3882506,1,cyclone,8321,11065,4493,2606,4209,3036,10133,12126,1805,2600
2,MODERATE,1791396,1,cyclone,4806,5103,1903,1459,1893,1489,5038,4241,837,1186
2,MODERATE,2455918,0,earthquake,4620,4830,2475,1933,2568,1107,4345,4083,1007,1061
4,CATASTROPHIC,2693695,1,cyclone,33176,38382,19611,15282,16037,17787,40098,47707,6721,8704
0,NONE,1840875,0,earthquake,0,0,0,0,0,0,0,0,0,0
2,MODERATE,4183583,1,cyclone,10583,11375,4249,3688,4857,3430,11408,15514,2023,2014
0,NONE,1347203,1,cyclone,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,3354513,0,earthquake,35318,37843,25456,22646,13533,18232,32549,33776,9884,8699
4,CATASTROPHIC,751993,0,earthquake,7764,8428,5864,4969,4237,3840,8453,7951,1912,2650
3,SEVERE,4563167,1,cyclone,29616,30872,14372,11568,11818,12993,23204,36761,4759,5127
4,CATASTROPHIC,1515554,1,cyclone,21732,20509,9729,7959,8882,11353,19797,21756,4637,5460
0,NONE,1251661,0,earthquake,0,0,0,0,0,0,0,0,0,0
0,NONE,1017497,1,cyclone,0,0,0,0,0,0,0,0,0,0
0,NONE,2702303,1,cyclone,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,2063729,0,earthquake,18785,17929,15172,13942,9806,10933,17485,17124,5821,6858
3,SEVERE,382811,1,cyclone,2787,2755,1187,944,933,1106,2426,2563,298,510
3,SEVERE,1857845,1,cyclone,12557,11927,5015,4332,5068,4922,8903,13207,2070,1843
0,NONE,4452664,0,earthquake,0,0,0,0,0,0,0,0,0,0
4,CATASTROPHIC,1261368,0,earthquake,12690,10838,8678,7891,6678,6142,12819,12147,3573,3415
0,NONE,624773,0,earthquake,0,0,0,0,0,0,0,0,0,0
