wind_speed_kt,pressure_hpa,intensification_rate_kt_per_6h,severity_label
182.28,880,12.97,CATASTROPHIC
174.14,880,5.58,CATASTROPHIC
172.01,880,22.42,CATASTROPHIC
159.03,880,26.94,CATASTROPHIC
166.45,880,9.44,CATASTROPHIC
167.54,880,25.17,CATASTROPHIC
184.34,880,24.41,CATASTROPHIC
138.86,880,28.27,CATASTROPHIC
175.09,880,23.86,CATASTROPHIC
122.22,881.19,27.56,CATASTROPHIC
150.37,880,27.39,CATASTROPHIC
142.24,881.99,5.27,CATASTROPHIC
178.38,880,28.75,CATASTROPHIC
181.54,880,19.34,CATASTROPHIC
159.23,880,13.22,CATASTROPHIC
162.08,880,23.81,CATASTROPHIC
170.41,880,18.74,CATASTROPHIC
145.91,880,27.19,CATASTROPHIC
139.56,880,7.53,CATASTROPHIC
120.89,909.48,22.52,CATASTROPHIC
120.09,898.29,7.03,CATASTROPHIC
120.94,902.15,29.67,CATASTROPHIC
141.2,886.12,28.68,CATASTROPHIC
184.02,880,23.83,CATASTROPHIC
141.34,880,27.66,CATASTROPHIC
122.78,910.77,17.32,CATASTROPHIC
115.79,883.97,7.97,CATASTROPHIC
123.23,886.05,21.23,CATASTROPHIC
167.22,880,14.37,CATASTROPHIC
135.0,880,26.71,CATASTROPHIC
130.65,880.39,29.82,CATASTROPHIC
120.17,904.59,18.85,CATASTROPHIC
182.85,880,22.39,CATASTROPHIC
146.82,880,20.69,CATASTROPHIC
155.9,880,20.5,CATASTROPHIC
134.42,890.23,9.7,CATASTROPHIC
147.46,880,6.94,CATASTROPHIC
183.21,880,29.66,CATASTROPHIC
163.87,880,25.34,CATASTROPHIC
162.93,880,9.07,CATASTROPHIC
178.76,880,15.46,CATASTROPHIC
180.29,880,26.65,CATASTROPHIC
118.17,890.73,25.26,CATASTROPHIC
184.11,880,8.76,CATASTROPHIC
156.59,880,26.05,CATASTROPHIC
173.68,880,16.72,CATASTROPHIC
144.04,880,26.62,CATASTROPHIC
171.9,880,29.99,CATASTROPHIC
184.76,880,28.62,CATASTROPHIC
174.48,880,11.18,CATASTROPHIC
146.54,880,21.79,CATASTROPHIC
158.27,880,13.95,CATASTROPHIC
122.95,890.69,24.31,CATASTROPHIC
151.41,889.3,26.3,CATASTROPHIC
153.63,880,15.09,CATASTROPHIC
124.38,888.11,5.72,CATASTROPHIC
167.86,880,10.32,CATASTROPHIC
124.55,898.62,5.36,CATASTROPHIC
139.54,880,15.94,CATASTROPHIC
178.29,880,13.71,CATASTROPHIC
150.98,880,20.55,CATASTROPHIC
175.37,880,28.74,CATASTROPHIC
125.3,884.48,11.46,CATASTROPHIC
147.14,880,29.5,CATASTROPHIC
149.48,880,11.0,CATASTROPHIC
120.31,880,8.22,CATASTROPHIC
123.96,880,13.64,CATASTROPHIC
177.78,880,16.85,CATASTROPHIC
161.73,880,6.02,CATASTROPHIC
126.83,880,11.96,CATASTROPHIC
127.39,880,14.11,CATASTROPHIC
150.24,880,22.26,CATASTROPHIC
117.75,899.97,7.04,CATASTROPHIC
176.15,880,28.02,CATASTROPHIC
119.28,903.49,23.71,CATASTROPHIC
127.92,880,10.23,CATASTROPHIC
140.93,904.68,14.22,CATASTROPHIC
147.38,880,23.69,CATASTROPHIC
117.57,905.2,27.38,CATASTROPHIC
150.82,880,18.3,CATASTROPHIC
122.5,910.35,11.06,CATASTROPHIC
133.85,880,14.43,CATASTROPHIC
116.4,880,13.19,CATASTROPHIC
123.38,880,27.26,CATASTROPHIC
156.55,880,17.46,CATASTROPHIC
121.08,898.72,18.43,CATASTROPHIC
156.08,880,8.19,CATASTROPHIC
134.86,898.87,14.08,CATASTROPHIC
160.21,880,29.66,CATASTROPHIC
157.4,880,10.93,CATASTROPHIC
122.12,881.0,9.02,CATASTROPHIC
128.06,880,12.13,CATASTROPHIC
127.14,880,29.56,CATASTROPHIC
122.84,897.43,14.95,CATASTROPHIC
182.86,880,11.45,CATASTROPHIC
126.96,887.14,21.72,CATASTROPHIC
180.06,880,12.0,CATASTROPHIC
168.86,880,9.68,CATASTROPHIC
137.66,880,11.06,CATASTROPHIC
123.04,880,20.27,CATASTROPHIC
135.2,880,17.03,CATASTROPHIC
152.28,880,6.3,CATASTROPHIC
138.56,880,22.04,CATASTROPHIC
168.22,880,19.89,CATASTROPHIC
148.01,880,28.24,CATASTROPHIC
173.14,880,29.13,CATASTROPHIC
123.7,888.85,9.53,CATASTROPHIC
119.65,891.69,23.53,CATASTROPHIC
155.21,880,24.88,CATASTROPHIC
129.11,882.59,9.09,CATASTROPHIC
126.5,891.65,18.08,CATASTROPHIC
140.12,885.41,26.93,CATASTROPHIC
142.47,880,14.42,CATASTROPHIC
147.39,882.13,12.53,CATASTROPHIC
167.33,880,27.49,CATASTROPHIC
141.87,880,18.59,CATASTROPHIC
178.45,880,28.5,CATASTROPHIC
158.94,880,13.37,CATASTROPHIC
124.75,892.89,18.34,CATASTROPHIC
177.57,880,24.71,CATASTROPHIC
125.62,880,23.6,CATASTROPHIC
117.35,880.4,19.25,CATASTROPHIC
168.37,880,25.53,CATASTROPHIC
122.74,899.69,26.16,CATASTROPHIC
123.92,905.38,8.75,CATASTROPHIC
131.05,880,23.06,CATASTROPHIC
165.4,880,18.57,CATASTROPHIC
132.63,892.5,13.64,CATASTROPHIC
127.71,884.85,15.02,CATASTROPHIC
147.34,880,28.68,CATASTROPHIC
125.73,886.97,20.29,CATASTROPHIC
116.27,933.39,26.8,CATASTROPHIC
180.25,880,28.06,CATASTROPHIC
164.51,880,8.81,CATASTROPHIC
155.34,880,23.41,CATASTROPHIC
180.41,880,28.14,CATASTROPHIC
146.56,901.52,14.98,CATASTROPHIC
118.83,899.03,13.38,CATASTROPHIC
171.2,880,28.0,CATASTROPHIC
139.24,880,13.67,CATASTROPHIC
166.63,880,16.31,CATASTROPHIC
124.86,881.23,9.41,CATASTROPHIC
149.89,880,14.06,CATASTROPHIC
155.64,880,20.81,CATASTROPHIC
115.92,880,29.03,CATASTROPHIC
125.41,892.34,15.37,CATASTROPHIC
120.97,889.04,19.88,CATASTROPHIC
119.7,892.68,23.75,CATASTROPHIC
129.69,880,9.77,CATASTROPHIC
117.56,894.77,16.8,CATASTROPHIC
154.54,880,16.02,CATASTROPHIC
143.05,880,18.99,CATASTROPHIC
125.87,888.48,28.65,CATASTROPHIC
141.13,880,11.77,CATASTROPHIC
160.08,880,8.9,CATASTROPHIC
165.12,880,21.47,CATASTROPHIC
116.9,882.54,21.8,CATASTROPHIC
116.38,882.7,7.6,CATASTROPHIC
170.99,880,10.95,CATASTROPHIC
121.96,880,11.08,CATASTROPHIC
165.56,880,14.93,CATASTROPHIC
161.77,880,10.12,CATASTROPHIC
135.52,880,27.32,CATASTROPHIC
172.22,880,13.55,CATASTROPHIC
133.16,896.58,11.7,CATASTROPHIC
158.69,880,15.24,CATASTROPHIC
153.64,880,28.71,CATASTROPHIC
168.45,880,8.5,CATASTROPHIC
175.79,880,25.0,CATASTROPHIC
144.76,880,5.56,CATASTROPHIC
133.81,908.52,11.45,CATASTROPHIC
124.75,895.33,25.87,CATASTROPHIC
183.91,880,11.81,CATASTROPHIC
116.29,895.22,27.86,CATASTROPHIC
123.24,880,18.85,CATASTROPHIC
160.6,880,25.74,CATASTROPHIC
129.45,904.86,21.63,CATASTROPHIC
127.28,906.28,27.86,CATASTROPHIC
144.31,880,6.17,CATASTROPHIC
126.64,880,23.45,CATASTROPHIC
120.8,880,14.73,CATASTROPHIC
135.21,883.51,13.89,CATASTROPHIC
165.33,880,16.9,CATASTROPHIC
161.46,880,28.42,CATASTROPHIC
166.28,880,6.29,CATASTROPHIC
149.75,880,19.92,CATASTROPHIC
138.4,880,6.88,CATASTROPHIC
165.97,880,17.39,CATASTROPHIC
163.19,880,25.48,CATASTROPHIC
170.96,880,22.37,CATASTROPHIC
134.05,880,7.29,CATASTROPHIC
179.21,880,8.42,CATASTROPHIC
181.52,880,18.55,CATASTROPHIC
176.11,880,23.31,CATASTROPHIC
171.46,880,26.23,CATASTROPHIC
132.48,893.46,17.24,CATASTROPHIC
130.48,891.79,5.85,CATASTROPHIC
163.82,880,12.43,CATASTROPHIC
179.71,880,26.11,CATASTROPHIC
137.34,880,25.72,CATASTROPHIC
117.59,880,8.01,CATASTROPHIC
120.39,897.13,22.41,CATASTROPHIC
138.79,880,12.88,CATASTROPHIC
152.76,880,24.77,CATASTROPHIC
137.31,885.7,20.4,CATASTROPHIC
131.31,882.94,5.61,CATASTROPHIC
175.91,880,24.97,CATASTROPHIC
184.86,880,13.77,CATASTROPHIC
168.7,880,20.69,CATASTROPHIC
176.16,880,29.6,CATASTROPHIC
168.78,880,23.44,CATASTROPHIC
131.71,880,7.76,CATASTROPHIC
139.82,880,10.84,CATASTROPHIC
117.95,880,5.45,CATASTROPHIC
184.14,880,21.99,CATASTROPHIC
130.28,880,28.75,CATASTROPHIC
170.04,880,26.98,CATASTROPHIC
181.13,880,16.69,CATASTROPHIC
157.94,880,17.82,CATASTROPHIC
131.15,903.17,9.41,CATASTROPHIC
130.43,887.9,13.75,CATASTROPHIC
119.05,881.61,29.23,CATASTROPHIC
176.87,880,23.96,CATASTROPHIC
163.72,880,8.85,CATASTROPHIC
172.11,880,18.42,CATASTROPHIC
156.51,880,19.5,CATASTROPHIC
121.4,883.16,8.24,CATASTROPHIC
177.21,880,28.89,CATASTROPHIC
175.35,880,18.77,CATASTROPHIC
121.09,905.17,15.21,CATASTROPHIC
141.09,882.17,17.4,CATASTROPHIC
120.67,880,10.5,CATASTROPHIC
162.83,880,19.81,CATASTROPHIC
172.73,880,13.7,CATASTROPHIC
162.46,880,26.97,CATASTROPHIC
170.82,880,21.46,CATASTROPHIC
174.54,880,25.93,CATASTROPHIC
163.82,880,22.0,CATASTROPHIC
158.3,880,27.02,CATASTROPHIC
176.03,880,5.73,CATASTROPHIC
110.42,894.03,13.59,SEVERE
73.84,923.65,15.45,SEVERE
110.77,895.85,2.18,SEVERE
98.93,911.12,19.53,SEVERE
99.75,921.55,8.5,SEVERE
107.89,881.85,-2.33,SEVERE
106.86,911.21,3.55,SEVERE
99.79,910.93,18.3,SEVERE
70.64,942.0,-3.3,SEVERE
81.55,934.57,12.7,SEVERE
68.7,914.15,10.52,SEVERE
67.52,956.96,16.79,SEVERE
118.54,896.96,-4.39,SEVERE
66.22,935.9,3.09,SEVERE
91.88,929.11,6.15,SEVERE
80.05,946.15,19.93,SEVERE
88.44,903.11,14.87,SEVERE
103.15,904.18,0.52,SEVERE
69.53,957.3,1.83,SEVERE
117.3,912.36,-1.22,SEVERE
88.78,919.5,10.96,SEVERE
86.87,932.63,1.86,SEVERE
119.12,904.35,0.75,SEVERE
76.72,930.18,-4.22,SEVERE
100.84,923.42,6.83,SEVERE
118.25,886.6,-0.36,SEVERE
112.77,907.84,16.12,SEVERE
106.86,913.98,10.66,SEVERE
72.22,956.52,7.04,SEVERE
71.45,945.92,-1.87,SEVERE
102.71,886.92,7.29,SEVERE
68.53,936.73,9.55,SEVERE
79.79,920.69,6.38,SEVERE
65.64,959.3,-3.19,SEVERE
86.59,960.5,2.29,SEVERE
103.22,899.34,16.5,SEVERE
107.89,901.75,-2.38,SEVERE
78.31,923.12,19.67,SEVERE
72.84,973.19,12.56,SEVERE
95.78,913.88,-4.76,SEVERE
82.96,913.9,3.77,SEVERE
66.83,943.74,-3.04,SEVERE
86.83,926.1,12.24,SEVERE
109.03,885.03,0.0,SEVERE
74.21,939.92,12.66,SEVERE
66.74,931.28,18.41,SEVERE
67.86,969.32,16.77,SEVERE
104.27,911.09,15.04,SEVERE
83.67,928.05,15.43,SEVERE
89.88,934.37,11.09,SEVERE
93.95,910.51,-3.49,SEVERE
78.59,934.48,-1.01,SEVERE
112.95,881.58,14.74,SEVERE
101.23,900.83,7.45,SEVERE
95.54,900.46,19.91,SEVERE
118.61,902.69,11.26,SEVERE
75.97,926.49,-4.23,SEVERE
79.17,934.0,6.57,SEVERE
112.75,911.24,5.64,SEVERE
84.03,939.07,4.28,SEVERE
119.32,880,13.13,SEVERE
91.77,948.26,16.84,SEVERE
114.54,880,9.81,SEVERE
115.18,886.23,0.27,SEVERE
99.26,931.39,-1.71,SEVERE
104.37,917.28,17.73,SEVERE
74.88,939.97,7.31,SEVERE
78.6,927.03,16.77,SEVERE
89.49,886.99,9.82,SEVERE
73.99,939.53,4.78,SEVERE
118.32,903.79,3.13,SEVERE
107.54,883.77,-1.73,SEVERE
118.34,880,-3.16,SEVERE
74.34,931.58,7.99,SEVERE
83.54,922.58,1.22,SEVERE
98.94,929.56,12.67,SEVERE
74.19,948.52,6.87,SEVERE
111.43,916.91,15.14,SEVERE
97.19,908.26,-2.2,SEVERE
79.84,935.86,-3.57,SEVERE
94.21,913.82,18.35,SEVERE
82.39,912.09,7.68,SEVERE
67.29,944.8,16.7,SEVERE
90.01,926.78,7.89,SEVERE
91.89,905.05,-4.25,SEVERE
81.94,934.11,12.62,SEVERE
76.1,938.05,6.09,SEVERE
112.75,887.49,-0.57,SEVERE
103.09,906.44,10.45,SEVERE
112.79,927.26,9.27,SEVERE
66.67,946.29,11.91,SEVERE
76.86,939.88,11.47,SEVERE
86.66,911.76,11.45,SEVERE
119.97,894.48,-3.79,SEVERE
118.74,906.33,14.56,SEVERE
96.19,910.03,13.46,SEVERE
113.32,880,11.69,SEVERE
109.43,886.56,14.06,SEVERE
108.88,920.47,-1.99,SEVERE
94.95,911.13,-4.86,SEVERE
82.85,907.98,12.39,SEVERE
86.37,898.97,6.22,SEVERE
78.06,912.54,-3.17,SEVERE
98.19,902.8,11.71,SEVERE
99.07,880,16.58,SEVERE
93.55,906.21,6.98,SEVERE
66.41,926.24,4.97,SEVERE
96.91,890.1,8.34,SEVERE
98.43,921.76,12.95,SEVERE
117.55,901.08,-4.54,SEVERE
75.77,930.44,18.18,SEVERE
68.31,947.57,18.36,SEVERE
84.34,925.16,1.42,SEVERE
80.67,915.08,2.68,SEVERE
109.17,880,10.26,SEVERE
104.39,911.56,1.82,SEVERE
87.75,920.24,12.03,SEVERE
74.98,932.63,8.13,SEVERE
104.0,908.41,1.41,SEVERE
117.96,880,7.09,SEVERE
109.33,891.99,10.83,SEVERE
117.33,893.63,10.04,SEVERE
110.06,895.69,0.3,SEVERE
98.6,917.41,5.28,SEVERE
111.19,894.68,0.92,SEVERE
107.93,913.34,1.87,SEVERE
110.24,927.05,-2.61,SEVERE
99.31,898.26,6.29,SEVERE
97.26,920.6,16.57,SEVERE
76.92,922.06,-2.61,SEVERE
66.3,962.07,8.67,SEVERE
77.76,956.59,4.77,SEVERE
97.7,917.02,-1.59,SEVERE
103.23,906.74,5.11,SEVERE
88.55,936.09,19.78,SEVERE
72.06,954.5,-2.4,SEVERE
104.84,880.82,-3.01,SEVERE
69.71,948.74,17.35,SEVERE
75.55,917.94,3.87,SEVERE
68.82,930.51,7.98,SEVERE
68.72,931.95,8.5,SEVERE
113.4,907.12,11.27,SEVERE
94.31,898.1,11.74,SEVERE
119.68,880,11.55,SEVERE
95.68,910.41,-3.5,SEVERE
95.93,939.98,18.94,SEVERE
74.64,920.5,8.4,SEVERE
70.32,949.12,6.26,SEVERE
106.59,923.12,14.89,SEVERE
115.99,880,0.87,SEVERE
86.96,924.13,16.05,SEVERE
93.65,928.05,10.59,SEVERE
69.9,932.19,15.65,SEVERE
108.01,907.41,12.72,SEVERE
66.99,926.95,4.0,SEVERE
69.82,926.83,18.42,SEVERE
95.46,901.82,6.18,SEVERE
98.03,887.95,7.89,SEVERE
115.57,898.2,16.29,SEVERE
76.47,933.51,18.26,SEVERE
71.4,932.02,16.95,SEVERE
112.74,914.75,15.15,SEVERE
108.45,893.94,5.07,SEVERE
74.54,931.91,12.37,SEVERE
84.04,926.72,15.56,SEVERE
72.29,940.27,16.55,SEVERE
115.75,931.22,14.12,SEVERE
74.62,930.88,7.56,SEVERE
86.93,917.5,-3.3,SEVERE
66.42,928.7,-1.62,SEVERE
117.97,899.65,5.81,SEVERE
82.15,928.66,7.65,SEVERE
89.17,925.08,0.4,SEVERE
99.08,899.02,11.26,SEVERE
73.36,926.31,19.87,SEVERE
68.18,940.88,12.38,SEVERE
119.1,882.44,-1.97,SEVERE
81.68,922.16,-2.47,SEVERE
103.07,907.17,19.92,SEVERE
109.77,889.3,10.38,SEVERE
81.84,935.65,5.65,SEVERE
72.19,972.14,17.17,SEVERE
89.74,912.66,5.35,SEVERE
110.51,881.92,13.34,SEVERE
107.31,902.24,7.03,SEVERE
66.06,941.33,1.5,SEVERE
106.82,904.82,0.38,SEVERE
65.67,927.55,1.03,SEVERE
118.67,880,8.7,SEVERE
89.99,919.55,16.11,SEVERE
70.39,921.71,3.12,SEVERE
105.55,903.84,6.9,SEVERE
85.67,911.2,14.63,SEVERE
114.06,880,18.88,SEVERE
108.28,918.86,5.94,SEVERE
79.01,914.18,16.02,SEVERE
67.11,941.56,10.93,SEVERE
101.26,922.56,17.38,SEVERE
100.02,900.38,7.96,SEVERE
73.26,939.27,13.44,SEVERE
93.17,913.39,-2.88,SEVERE
104.4,906.95,-3.2,SEVERE
68.92,929.04,2.41,SEVERE
84.23,945.25,14.37,SEVERE
101.38,901.85,-2.54,SEVERE
101.32,902.14,14.11,SEVERE
79.58,939.53,4.55,SEVERE
76.31,953.35,-1.97,SEVERE
98.83,920.8,8.26,SEVERE
67.31,961.06,19.21,SEVERE
108.93,922.9,13.7,SEVERE
109.65,927.34,11.41,SEVERE
72.05,946.31,0.62,SEVERE
85.47,921.38,5.8,SEVERE
89.17,929.52,1.02,SEVERE
71.68,940.53,-0.06,SEVERE
113.78,880,15.4,SEVERE
112.38,911.32,16.16,SEVERE
115.54,907.02,6.51,SEVERE
111.31,886.49,13.21,SEVERE
107.7,886.71,8.63,SEVERE
119.16,898.39,18.43,SEVERE
67.37,941.21,13.15,SEVERE
109.98,898.73,0.34,SEVERE
92.82,924.59,8.56,SEVERE
97.47,923.39,7.71,SEVERE
81.37,955.81,16.83,SEVERE
100.0,919.36,14.03,SEVERE
73.8,932.44,1.17,SEVERE
104.96,904.75,19.8,SEVERE
70.45,958.86,0.1,SEVERE
95.53,908.13,13.33,SEVERE
98.88,903.4,14.59,SEVERE
95.48,897.86,-4.87,SEVERE
106.85,881.4,-1.28,SEVERE
81.81,911.6,16.92,SEVERE
119.8,880,13.05,SEVERE
113.74,880,9.83,SEVERE
86.53,948.68,-4.92,SEVERE
99.08,899.66,3.89,SEVERE
108.68,904.04,7.02,SEVERE
100.33,897.14,-3.38,SEVERE
96.9,941.02,10.09,SEVERE
102.21,936.09,15.12,SEVERE
79.84,930.05,-3.07,SEVERE
68.22,961.47,3.36,SEVERE
108.17,916.05,7.93,SEVERE
89.21,931.02,-1.31,SEVERE
83.05,914.3,0.52,SEVERE
97.9,910.07,13.39,SEVERE
119.91,892.94,5.53,SEVERE
99.99,918.66,14.64,SEVERE
71.51,955.7,4.6,SEVERE
96.45,908.98,9.69,SEVERE
75.15,913.69,-4.35,SEVERE
66.33,926.05,15.79,SEVERE
80.02,901.54,18.52,SEVERE
79.26,933.29,5.74,SEVERE
113.0,891.47,15.07,SEVERE
90.2,925.83,7.07,SEVERE
72.34,940.74,7.41,SEVERE
89.03,915.3,13.24,SEVERE
107.1,908.22,-1.62,SEVERE
106.33,887.21,11.42,SEVERE
117.61,880,1.17,SEVERE
114.84,881.77,1.24,SEVERE
79.96,925.49,14.42,SEVERE
68.6,964.93,7.19,SEVERE
66.85,944.68,5.28,SEVERE
84.1,908.93,17.5,SEVERE
66.2,947.51,9.0,SEVERE
116.53,894.78,-3.69,SEVERE
88.03,935.24,19.53,SEVERE
79.11,917.1,11.35,SEVERE
75.9,914.11,19.3,SEVERE
98.47,947.75,3.74,SEVERE
71.28,932.32,1.27,SEVERE
111.78,890.09,9.03,SEVERE
93.79,911.78,12.7,SEVERE
94.89,917.39,-2.96,SEVERE
90.21,900.8,18.64,SEVERE
111.75,897.38,11.73,SEVERE
90.43,946.12,8.64,SEVERE
68.43,926.06,7.81,SEVERE
109.35,890.94,14.66,SEVERE
76.08,933.04,1.47,SEVERE
74.06,953.37,7.98,SEVERE
76.27,922.21,16.95,SEVERE
113.38,891.22,6.28,SEVERE
119.17,898.5,14.3,SEVERE
66.49,942.59,17.73,SEVERE
94.63,904.33,7.45,SEVERE
70.8,954.77,4.51,SEVERE
107.66,909.92,19.11,SEVERE
76.21,906.33,14.82,SEVERE
96.77,916.24,10.86,SEVERE
108.89,912.6,8.33,SEVERE
73.69,933.44,12.4,SEVERE
108.63,913.88,17.65,SEVERE
80.23,923.35,19.59,SEVERE
72.74,929.06,17.35,SEVERE
100.99,901.28,-1.2,SEVERE
89.22,909.75,17.06,SEVERE
109.2,903.86,7.63,SEVERE
118.19,895.78,11.7,SEVERE
99.91,909.42,-0.85,SEVERE
113.51,880,-4.68,SEVERE
95.79,910.38,8.18,SEVERE
104.56,893.35,16.45,SEVERE
110.05,908.9,8.52,SEVERE
104.06,901.38,15.54,SEVERE
90.26,890.41,3.94,SEVERE
92.18,910.34,-0.66,SEVERE
104.16,920.73,15.65,SEVERE
70.54,930.99,3.7,SEVERE
89.77,914.07,13.72,SEVERE
100.81,886.41,16.04,SEVERE
90.92,937.74,19.48,SEVERE
99.88,915.71,3.13,SEVERE
102.75,895.4,-3.26,SEVERE
74.62,929.35,15.93,SEVERE
80.36,937.5,11.07,SEVERE
103.18,880,0.32,SEVERE
66.83,945.06,2.6,SEVERE
100.92,919.93,11.62,SEVERE
79.32,940.7,17.68,SEVERE
101.89,893.62,6.18,SEVERE
90.32,921.93,16.61,SEVERE
95.07,918.73,-2.23,SEVERE
88.24,920.81,-3.95,SEVERE
105.69,900.98,16.46,SEVERE
81.07,935.25,17.77,SEVERE
106.47,916.86,2.04,SEVERE
113.0,889.1,-2.19,SEVERE
103.7,892.64,1.05,SEVERE
65.68,945.7,6.72,SEVERE
81.57,904.33,2.5,SEVERE
105.88,915.81,-3.8,SEVERE
114.66,901.77,9.83,SEVERE
114.08,909.41,-0.37,SEVERE
69.34,951.67,-4.13,SEVERE
97.05,903.21,19.89,SEVERE
112.06,886.93,15.78,SEVERE
97.94,912.6,-2.13,SEVERE
70.16,943.82,15.73,SEVERE
113.34,906.29,9.29,SEVERE
93.46,889.39,5.86,SEVERE
107.56,892.12,10.05,SEVERE
114.09,927.49,10.78,SEVERE
97.54,895.76,12.57,SEVERE
78.06,917.46,4.61,SEVERE
91.82,918.63,11.31,SEVERE
117.28,914.91,7.66,SEVERE
99.88,919.29,-3.23,SEVERE
78.99,924.41,-3.86,SEVERE
72.7,904.18,1.92,SEVERE
118.43,888.26,-0.1,SEVERE
98.59,880.39,2.02,SEVERE
76.38,930.54,-4.81,SEVERE
77.05,933.05,-4.08,SEVERE
70.94,955.33,9.3,SEVERE
93.2,908.14,2.34,SEVERE
116.25,882.07,10.43,SEVERE
71.26,935.82,3.63,SEVERE
92.91,916.81,12.56,SEVERE
119.6,906.54,-1.71,SEVERE
80.11,909.22,5.28,SEVERE
114.92,880,12.85,SEVERE
98.43,925.38,18.88,SEVERE
110.17,891.7,-4.96,SEVERE
100.0,912.17,12.16,SEVERE
